# pkg	old-name	new-name — appended by Tasks 3–5; consumed by Task 8
internal/gitcli	TestAddBranchWorktreeInvalidRequests	TestIntegrationRepoAddBranchWorktreeInvalidRequests
internal/gitcli	TestAttachBranchWorktreeAttachesExistingAndRejectsMissing	TestIntegrationRepoAttachBranchWorktreeAttachesExistingAndRejectsMissing
internal/gitcli	TestRemoveWorktreeCleanPreservesBranchAndRefusesDirty	TestIntegrationRepoRemoveWorktreeCleanPreservesBranchAndRefusesDirty
internal/gitcli	TestCheckoutPreservationAcrossWorktreesAndTopologies	TestIntegrationRepoCheckoutPreservationAcrossWorktreesAndTopologies
internal/gitcli	TestRevisionConsistencyABAndUnrelatedBranch	TestIntegrationRepoRevisionConsistencyABAndUnrelatedBranch
internal/gitcli	TestDocketModeTwoSourceReads	TestIntegrationRepoDocketModeTwoSourceReads
internal/gitcli	TestCommitPathsExplicitSetTrailersHooksSigningAndDates	TestIntegrationRepoCommitPathsExplicitSetTrailersHooksSigningAndDates
internal/gitcli	TestCommitPathsMissingIdentityFails	TestIntegrationRepoCommitPathsMissingIdentityFails
internal/gitcli	TestCommitChangedPathsSingleAndMultiArtifact	TestIntegrationRepoCommitChangedPathsSingleAndMultiArtifact
internal/gitcli	TestCommitChangedPathsRejectsMalformedID	TestIntegrationRepoCommitChangedPathsRejectsMalformedID
internal/gitcli	TestChangedPathsExactSetWithStagedFlags	TestIntegrationRepoChangedPathsExactSetWithStagedFlags
internal/gitcli	TestChangedPathsCleanWorktreeIsEmpty	TestIntegrationRepoChangedPathsCleanWorktreeIsEmpty
internal/gitcli	TestScanCommitTrailersGrammarNotSubstring	TestIntegrationRepoScanCommitTrailersGrammarNotSubstring
internal/gitcli	TestListTreeMatchesPlumbingOracle	TestIntegrationSourceListTreeMatchesPlumbingOracle
internal/gitcli	TestListTreePrefixesOverlapAndAbsent	TestIntegrationSourceListTreePrefixesOverlapAndAbsent
internal/gitcli	TestListTreeQuotePathTrueFixture	TestIntegrationSourceListTreeQuotePathTrueFixture
internal/gitcli	TestListTreePinnedAfterFetch	TestIntegrationSourceListTreePinnedAfterFetch
internal/gitcli	TestOpenObjectSourceRejections	TestIntegrationSourceOpenObjectSourceRejections
internal/gitcli	TestListTreeMalformedOutput	TestIntegrationSourceListTreeMalformedOutput
internal/gitcli	TestReadBlobsMatchesOracleInRequestOrder	TestIntegrationSourceReadBlobsMatchesOracleInRequestOrder
internal/gitcli	TestPathspecMagicPathsResolveLiterally	TestIntegrationSourcePathspecMagicPathsResolveLiterally
internal/gitcli	TestReadBlobsNeutralizesInheritedPathspecMagic	TestIntegrationSourceReadBlobsNeutralizesInheritedPathspecMagic
internal/gitcli	TestReadBlobsMissingDuplicateEmpty	TestIntegrationSourceReadBlobsMissingDuplicateEmpty
internal/gitcli	TestReadBlobsSymlinkGitlinkDirectory	TestIntegrationSourceReadBlobsSymlinkGitlinkDirectory
internal/gitcli	TestReadBlobsUsesOneBatchProcess	TestIntegrationSourceReadBlobsUsesOneBatchProcess
internal/gitcli	TestReadBlobsMalformedBatchFrames	TestIntegrationSourceReadBlobsMalformedBatchFrames
internal/gitcli	TestReadBlobsResultOwnership	TestIntegrationSourceReadBlobsResultOwnership
internal/gitcli	TestReadBlobsResolvesFromRepositoryRoot	TestIntegrationSourceReadBlobsResolvesFromRepositoryRoot
internal/gitcli	TestConcurrentOperationsShareClientAndSourceSafely	TestRaceIntegrationConcurrencyOperationsShareClientAndSourceSafely
internal/gitcli	TestDiscoverCanonicalIdentityAcrossWorktrees	TestIntegrationRepoDiscoverCanonicalIdentityAcrossWorktrees
internal/gitcli	TestDiscoverRejections	TestIntegrationRepoDiscoverRejections
internal/gitcli	TestDiscoverInconsistentIdentityOutput	TestIntegrationRepoDiscoverInconsistentIdentityOutput
internal/gitcli	TestDiscoverIsReadOnly	TestIntegrationRepoDiscoverIsReadOnly
internal/gitcli	TestHarnessBuildersProduceExpectedTopology	TestIntegrationRepoHarnessBuildersProduceExpectedTopology
internal/gitcli	TestRemoteDefaultBranchAsksRemote	TestIntegrationRepoRemoteDefaultBranchAsksRemote
internal/gitcli	TestFetchBranchTargetedUpdatesTrackingRef	TestIntegrationRepoFetchBranchTargetedUpdatesTrackingRef
internal/gitcli	TestFetchBranchDoesNotFetchUnrelatedBranches	TestIntegrationRepoFetchBranchDoesNotFetchUnrelatedBranches
internal/gitcli	TestResolveRefFoundAndNotFound	TestIntegrationRepoResolveRefFoundAndNotFound
internal/gitcli	TestRefsFailureKinds	TestIntegrationRepoRefsFailureKinds
internal/gitcli	TestFetchFailureClassificationSharesOneNetworkBudget	TestIntegrationRepoFetchFailureClassificationSharesOneNetworkBudget
internal/gitcli	TestRemoteURLReturnsConfiguredURL	TestIntegrationRepoRemoteURLReturnsConfiguredURL
internal/gitcli	TestRemoteURLUnconfiguredRemoteIsRemoteUnavailable	TestIntegrationRepoRemoteURLUnconfiguredRemoteIsRemoteUnavailable
internal/gitcli	TestProbeRemoteBranchFoundReturnsExactID	TestIntegrationRepoProbeRemoteBranchFoundReturnsExactID
internal/gitcli	TestProbeRemoteBranchAbsent	TestIntegrationRepoProbeRemoteBranchAbsent
internal/gitcli	TestProbeRemoteBranchUnconfiguredRemoteErrorsNotAbsent	TestIntegrationRepoProbeRemoteBranchUnconfiguredRemoteErrorsNotAbsent
internal/gitcli	TestProbeRemoteBranchMatchesExactRefNotPrefix	TestIntegrationRepoProbeRemoteBranchMatchesExactRefNotPrefix
internal/gitcli	TestSanitizeRemovesRedirectionClassesKeepsAuthSentinel	TestIntegrationProcessSanitizeRemovesRedirectionClassesKeepsAuthSentinel
internal/gitcli	TestRunTimeoutKillsProcess	TestIntegrationProcessRunTimeoutKillsProcess
internal/gitcli	TestRunCancelledKind	TestIntegrationProcessRunCancelledKind
internal/gitcli	TestStderrExcerptBounded	TestIntegrationProcessStderrExcerptBounded
internal/gitcli	TestNoEnvironmentInDiagnostics	TestIntegrationProcessNoEnvironmentInDiagnostics
internal/gitcli	TestNoRemoteURLInDiagnostics	TestIntegrationProcessNoRemoteURLInDiagnostics
internal/gitcli	TestFailureCarriesChildExitCode	TestIntegrationProcessFailureCarriesChildExitCode
internal/gitcli	TestRunWaitDelayBoundsPipeHoldingGrandchild	TestIntegrationProcessRunWaitDelayBoundsPipeHoldingGrandchild
